Random1 score,Random2 score,Random3 score,Flex1 score,Random1 won,Random2 won,Random3 won,Flex1 won
56100,35400,44300,34300,1,0,0,0
42900,40300,46900,52200,0,0,0,1
47700,44900,33300,53200,0,0,0,1
44100,56300,38200,56400,0,0,0,1
33000,62000,33200,66700,0,0,0,1
30100,28400,55000,61200,0,0,0,1
41100,16100,50600,34600,0,0,1,0
66700,50300,39400,53800,1,0,0,0
46500,39500,42200,51700,0,0,0,1
40000,37700,48200,78200,0,0,0,1
35700,62400,57500,34000,0,1,0,0
41300,44200,59700,73300,0,0,0,1
31500,44100,41100,39400,0,1,0,0
65700,41900,51300,48400,1,0,0,0
47800,43000,36800,51000,0,0,0,1
28400,63400,31900,44500,0,1,0,0
39000,43200,53900,56300,0,0,0,1
37800,36200,26700,37500,1,0,0,0
27100,18400,48500,42500,0,0,1,0
39800,25500,30600,46700,0,0,0,1
43600,31900,59200,47200,0,0,1,0
59100,41300,38000,49400,1,0,0,0
22000,52300,59400,54300,0,0,1,0
45800,45800,36000,57500,0,0,0,1
45900,42700,53100,44800,0,0,1,0
40200,56200,39500,55100,0,1,0,0
31400,58600,49000,48800,0,1,0,0
48200,29200,38900,51100,0,0,0,1
66600,39800,52000,44900,1,0,0,0
26700,33000,39800,53400,0,0,0,1
45200,30800,46700,55300,0,0,0,1
41900,42100,16600,70300,0,0,0,1
45100,31100,38000,27900,1,0,0,0
36000,44400,34300,53800,0,0,0,1
32100,48300,53600,55900,0,0,0,1
18600,41200,44700,51700,0,0,0,1
52800,49000,56300,28700,0,0,1,0
38100,46600,34200,39700,0,1,0,0
30600,50000,49300,25300,0,1,0,0
34600,55400,51200,62100,0,0,0,1
51600,25700,56100,35400,0,0,1,0
35800,37500,58500,37800,0,0,1,0
51100,46100,25200,71100,0,0,0,1
32900,27000,51400,54600,0,0,0,1
38600,41200,33300,37900,0,1,0,0
30800,69800,36400,47600,0,1,0,0
34800,31700,47800,49200,0,0,0,1
40800,32900,48100,57900,0,0,0,1
46900,57900,40700,56000,0,1,0,0
53100,54200,33700,31700,0,1,0,0
35000,55400,44300,37900,0,1,0,0
60800,36400,48800,60500,1,0,0,0
52500,32500,54600,47700,0,0,1,0
49200,28400,40600,57400,0,0,0,1
46400,54100,47700,25400,0,1,0,0
63400,30800,46500,45200,1,0,0,0
38200,60000,35000,52900,0,1,0,0
53700,56000,35800,49500,0,1,0,0
53400,47400,26800,50800,1,0,0,0
